Time[s], Channel 1
0.7217923125, 0
1.3467923125, 1
1.346805625, 0
1.34681875, 1
1.346832, 0
1.346845125, 1
1.3468584375, 0
1.3468715625, 1
1.3468848125, 0
1.346898, 1
1.34691125, 0
1.346924375, 1
1.346937625, 0
1.3469508125, 1
1.3469640625, 0
1.3469771875, 1
1.3469905, 0
1.347003625, 1
1.347016875, 0
1.34703, 1
1.3470433125, 0
1.3470564375, 1
1.3470696875, 0
1.3470828125, 1
1.347096125, 0
1.34710925, 1
1.3471225, 0
1.347135625, 1
1.3471489375, 0
1.3471620625, 1
1.347175375, 0
1.3471885, 1
1.34720175, 0
1.347214875, 1
1.3472281875, 0
1.3472413125, 1
1.3472545625, 0
1.3472676875, 1
1.347281, 0
1.347294125, 1
1.347307375, 0
1.3473205, 1
1.3473338125, 0
1.3473469375, 1
1.3473601875, 0
1.3473733125, 1
1.347386625, 0
1.34739975, 1
1.3474130625, 0
1.3474261875, 1
1.3474394375, 0
1.3474525625, 1
1.347465875, 0
1.347479, 1
1.34749225, 0
1.347505375, 1
1.3475186875, 0
1.3475318125, 1
1.3475450625, 0
1.34755825, 1
1.3475715, 0
1.347584625, 1
1.3475979375, 0
1.3476110625, 1
1.3476243125, 0
1.3476374375, 1
1.34765075, 0
1.347663875, 1
1.3476771875, 0
1.3476903125, 1
1.3477035625, 0
1.3477166875, 1
1.34773, 0
1.347743125, 1
1.347756375, 0
1.3477695, 1
1.3477828125, 0
1.3477959375, 1
1.34780925, 0
1.347822375, 1
1.347835625, 0
1.34784875, 1
1.3478620625, 0
1.3478751875, 1
1.3478884375, 0
1.3479015625, 1
1.347914875, 0
1.347928, 1
1.34794125, 0
1.3479544375, 1
1.3479676875, 0
1.3479808125, 1
1.3479940625, 0
1.34800725, 1
1.3480205, 0
1.348033625, 1
1.3480469375, 0
1.3484905, 1
1.34850375, 0
1.348516875, 1
1.3485301875, 0
1.3485433125, 1
1.3485565625, 0
1.3485696875, 1
1.348583, 0
1.348596125, 1
1.3486094375, 0
1.3486225625, 1
1.3486358125, 0
1.3486489375, 1
1.34866225, 0
1.348675375, 1
1.348688625, 0
1.3487018125, 1
1.3487150625, 0
1.3487281875, 1
1.3487415, 0
1.348754625, 1
1.348767875, 0
1.348781, 1
1.3487943125, 0
1.3488074375, 1
1.3488206875, 0
1.348833875, 1
1.348847125, 0
1.34886025, 1
1.3488735625, 0
1.3488866875, 1
1.3488999375, 0
1.348913125, 1
1.348926375, 0
1.3489395, 1
1.3489528125, 0
1.3489659375, 1
1.3489791875, 0
1.3489923125, 1
1.349005625, 0
1.34901875, 1
1.3490320625, 0
1.3490451875, 1
1.3490584375, 0
1.3490715625, 1
1.349084875, 0
1.349098, 1
1.34911125, 0
1.3491244375, 1
1.3491376875, 0
1.3491508125, 1
1.349164125, 0
1.34917725, 1
1.3491905, 0
1.349203625, 1
1.3492169375, 0
1.3492300625, 1
1.349243375, 0
1.3492565, 1
1.34926975, 0
1.349282875, 1
1.3492961875, 0
1.3493093125, 1
1.3493225625, 0
1.3493356875, 1
1.349349, 0
1.349362125, 1
1.349375375, 0
1.3493885625, 1
1.3494018125, 0
1.3494149375, 1
1.34942825, 0
1.349441375, 1
1.349454625, 0
1.34946775, 1
1.3494810625, 0
1.3494941875, 1
1.3495074375, 0
1.3495205625, 1
1.349533875, 0
1.349547, 1
1.34956025, 0
1.349573375, 1
1.3495866875, 0
1.3495998125, 1
1.3496130625, 0
1.34962625, 1
1.3496395, 0
1.349652625, 1
1.3496659375, 0
1.3496790625, 1
1.3496923125, 0
1.3497054375, 1
1.34971875, 0
1.349731875, 1
1.349745125, 0
1.3501886875, 1
1.3502019375, 0
1.350215125, 1
1.350228375, 0
1.3502415, 1
1.3502548125, 0
1.3502679375, 1
1.3502811875, 0
1.3502943125, 1
1.350307625, 0
1.35032075, 1
1.350334, 0
1.3503471875, 1
1.3503604375, 0
1.3503735625, 1
1.350386875, 0
1.3504, 1
1.35041325, 0
1.350426375, 1
1.3504396875, 0
1.3504528125, 1
1.3504660625, 0
1.35047925, 1
1.3504925, 0
1.350505625, 1
1.3505189375, 0
1.3505320625, 1
1.3505453125, 0
1.3505584375, 1
1.35057175, 0
1.350584875, 1
1.350598125, 0
1.3518905, 1
1.35190375, 0
1.351916875, 1
1.3519301875, 0
1.3519433125, 1
1.3519565625, 0
1.3519696875, 1
1.351983, 0
1.351996125, 1
1.352009375, 0
1.3520225625, 1
1.3520358125, 0
1.3520489375, 1
1.35206225, 0
1.352075375, 1
1.352088625, 0
1.35210175, 1
1.3521150625, 0
1.3521281875, 1
1.3521414375, 0
1.352154625, 1
1.352167875, 0
1.352181, 1
1.3521943125, 0
